190,26,-10,-3,7,19,0
127,105,62,56,-6,111,1
217,108,21,32,11,97,1
176,16,49,32,-17,33,0
176,-45,1,-18,-19,-26,0
175,71,28,51,23,48,1
213,17,4,-2,-6,23,0
206,211,80,111,31,180,1
168,-27,67,-8,-75,48,0
179,122,98,84,-14,136,1
180,5,23,0,-23,28,0
186,42,-13,0,13,29,0
179,112,-17,31,48,64,1
201,103,8,21,13,90,0
206,323,29,70,41,282,1
175,-19,-12,-16,-4,-15,0
168,5,-39,-11,28,-23,0
165,196,138,141,3,193,1
169,-27,48,10,-38,11,0
168,288,96,154,58,230,1
168,11,-9,4,13,-2,0
170,119,42,82,40,79,1
177,54,-13,13,26,28,0
174,-110,0,-49,-49,-61,1
168,66,-8,17,25,41,0
162,-189,67,-17,-84,-105,1
222,66,13,15,2,64,0
212,-76,-39,-42,-3,-73,1
164,78,-22,7,29,49,0
165,-106,-28,-55,-27,-79,1
177,42,25,24,-1,43,0
164,-108,-48,-48,0,-108,1
172,-1,-3,-2,1,-2,0
159,84,14,8,-6,90,1
187,-54,87,40,-47,-7,0
185,-99,72,0,-72,-27,1
200,-77,-6,-27,-21,-56,1
199,41,18,19,1,40,0
204,-184,-59,-58,1,-185,1
156,69,1,17,16,53,0
157,-136,-8,-57,-49,-87,1
177,92,37,35,-2,94,0
181,-8,15,-13,-28,20,0
187,-25,-5,-17,-12,-13,1
185,-209,96,-22,-118,-91,1
169,10,2,8,6,4,0
170,-6,115,57,-58,52,1
180,-159,98,18,-80,-79,0
193,-172,-73,-66,7,-179,1
189,-5,-59,-38,21,-26,0
197,-77,16,-17,-33,-44,0
216,-181,70,-12,-82,-99,1
183,-7,-5,-7,-2,-5,0
181,-95,35,-11,-46,-49,1
187,-69,-53,-44,9,-78,0
184,-103,-3,-23,-20,-83,1
180,-15,9,-8,-17,2,0
187,13,0,2,2,11,1
186,-112,16,-20,-36,-76,0
187,-155,20,-30,-50,-105,1
194,16,-19,-9,10,6,0
198,-20,23,0,-23,3,1
198,77,-46,-10,36,41,0
208,-62,-45,-75,-30,-32,1
156,-62,51,-7,-58,-4,0
170,-162,45,-50,-95,-67,1
176,87,-33,8,41,46,0
179,107,-36,28,64,43,1
187,7,-16,-17,-1,8,0
187,-38,-41,-48,-7,-31,1
177,7,0,-9,-9,16,0
179,-34,34,-7,-41,7,1
166,-31,-52,-70,-18,-13,0
188,63,-12,-4,8,55,0
191,-82,134,57,-77,-5,1
207,-47,-25,-29,-4,-43,0
198,-58,29,-4,-33,-25,1
133,48.061,16.199,37.199,21,27.061,0
121,26.398,36.843,29.843,-7,33.398,0
134,97.41,52.479,39.479,-13,110.41,0
131,168.9,-26.988,26.012,53,115.9,0
122,87.339,105.55,74.554,-31,118.34,0
144,112.74,-25.252,42.748,68,44.738,0
116,78.072,48.355,36.355,-12,90.072,0
